gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
04089,60066,76195,37756,36573,79764,06634,79077,79526,7678,7678,3179,1474,3515,7413,8269,0312,6745,4432,5457,270,931,313,88,34,78,77,10837,46377,27822,82009,93947,38801,14656,16701,27606,1651,1651,0345,6718,4822,8276,6394,8732,9223,1923,6563,757,026,382,84,99,32,18,56,50,20,28,61,48,13,51,43,15,15,44,34,05,94,42,00,35,78,54,46,15,80,46,02,73,95
10837,46377,27822,82009,93947,38801,14656,16701,27606,1651,1651,0345,6718,4822,8276,6394,8732,9223,1923,6563,757,026,382,84,99,32,18,97665,35125,14062,69557,81701,19106,44064,63962,99545,8614,8614,1235,9814,0366,3115,9151,6235,7920,6398,3574,277,925,749,31,06,32,91,01,24,13,17,18,64,33,50,13,37,37,00,95,32,83,28,62,95,96,78,73,08,40,56,23,41,12
97665,35125,14062,69557,81701,19106,44064,63962,99545,8614,8614,1235,9814,0366,3115,9151,6235,7920,6398,3574,277,925,749,31,06,32,91,93656,72550,57920,17228,93561,73048,21613,82051,95843,9015,9015,8044,1234,9305,7294,6142,3400,1035,3478,7354,546,815,380,46,02,73,95,06,63,84,02,17,42,56,54,50,24,24,70,27,38,91,16,89,32,82,72,73,29,56,55,37,34,18
93656,72550,57920,17228,93561,73048,21613,82051,95843,9015,9015,8044,1234,9305,7294,6142,3400,1035,3478,7354,546,815,380,46,02,73,95,83901,37724,83513,69717,72118,41664,84433,87550,30013,8737,8737,3900,2395,2532,0083,5928,2862,3895,6296,6478,773,108,640,56,23,41,12,37,20,25,58,24,95,08,55,37,10,10,68,33,90,00,97,85,95,22,81,87,02,28,45,53,99,38
83901,37724,83513,69717,72118,41664,84433,87550,30013,8737,8737,3900,2395,2532,0083,5928,2862,3895,6296,6478,773,108,640,56,23,41,12,21606,93763,26484,02602,96517,58142,48556,06654,40950,7324,7324,6570,8027,8238,3091,8216,8389,3332,1282,7972,173,429,656,55,37,34,18,92,57,44,24,65,81,64,49,26,86,86,52,00,32,90,18,37,58,17,60,90,45,30,40,12,51,59
21606,93763,26484,02602,96517,58142,48556,06654,40950,7324,7324,6570,8027,8238,3091,8216,8389,3332,1282,7972,173,429,656,55,37,34,18,07437,14620,89325,86558,40724,62095,85708,76155,73337,3510,3510,9468,3733,9690,9600,8397,8185,6095,1722,6181,487,502,728,45,53,99,38,25,81,31,28,43,13,45,97,47,02,02,18,51,64,87,43,88,03,30,02,21,50,59,84,16,66,22
07437,14620,89325,86558,40724,62095,85708,76155,73337,3510,3510,9468,3733,9690,9600,8397,8185,6095,1722,6181,487,502,728,45,53,99,38,63692,47957,86344,89624,95565,85881,69564,31749,89726,6186,6186,8852,3900,7832,4390,3118,8837,8158,5817,3560,390,245,430,40,12,51,59,73,12,96,57,53,18,87,84,29,62,62,01,20,20,43,97,01,12,79,19,62,77,73,72,81,83,57
63692,47957,86344,89624,95565,85881,69564,31749,89726,6186,6186,8852,3900,7832,4390,3118,8837,8158,5817,3560,390,245,430,40,12,51,59,80625,64881,07831,11928,31543,69513,43445,57397,39547,0402,0402,3518,6751,0964,5487,4943,7788,5703,5830,1202,721,850,259,84,16,66,22,82,88,86,10,94,86,38,26,92,78,78,90,77,47,03,07,07,21,91,33,97,00,24,46,27,36,86
80625,64881,07831,11928,31543,69513,43445,57397,39547,0402,0402,3518,6751,0964,5487,4943,7788,5703,5830,1202,721,850,259,84,16,66,22,85173,86412,43396,74657,01853,75818,35787,19284,08329,7662,7662,6301,0120,4020,9443,0897,4801,9012,0179,8419,562,877,573,72,81,83,57,15,33,80,06,16,14,35,73,65,82,82,18,88,34,86,63,88,84,82,30,00,68,23,29,67,18,53
85173,86412,43396,74657,01853,75818,35787,19284,08329,7662,7662,6301,0120,4020,9443,0897,4801,9012,0179,8419,562,877,573,72,81,83,57,81382,27988,26586,33510,46794,72886,91838,94426,92592,3778,3778,8290,9277,0347,3403,7907,0707,6921,9991,3133,597,000,324,46,27,36,86,71,73,72,30,09,88,88,23,57,16,16,37,40,18,67,88,00,60,35,69,51,84,37,31,53,63,06
81382,27988,26586,33510,46794,72886,91838,94426,92592,3778,3778,8290,9277,0347,3403,7907,0707,6921,9991,3133,597,000,324,46,27,36,86,55915,01833,61580,89906,62916,95814,57535,80973,19765,1182,1182,1118,3788,6934,5486,9263,0788,0884,5282,6730,900,168,723,29,67,18,53,60,54,93,59,82,07,28,45,13,81,81,02,13,01,11,66,93,20,76,23,09,31,18,41,62,40,66
55915,01833,61580,89906,62916,95814,57535,80973,19765,1182,1182,1118,3788,6934,5486,9263,0788,0884,5282,6730,900,168,723,29,67,18,53,83071,20373,59172,94530,35609,33988,84788,64023,77957,5916,5916,6537,2140,7218,6767,9288,4500,2160,7635,9469,751,684,437,31,53,63,06,40,92,14,05,49,13,82,71,81,57,57,32,84,87,13,34,40,81,28,47,69,25,17,31,73,06,97
83071,20373,59172,94530,35609,33988,84788,64023,77957,5916,5916,6537,2140,7218,6767,9288,4500,2160,7635,9469,751,684,437,31,53,63,06,57260,33554,63393,98159,35182,28907,93328,45945,81113,8281,8281,7602,5613,5801,9511,5966,2693,6620,6276,3023,009,331,918,41,62,40,66,60,90,16,65,47,08,28,62,10,92,92,07,09,56,92,59,84,18,16,90,18,77,12,34,97,74,11
57260,33554,63393,98159,35182,28907,93328,45945,81113,8281,8281,7602,5613,5801,9511,5966,2693,6620,6276,3023,009,331,918,41,62,40,66,67340,48192,79514,00305,73249,80413,43482,28571,77081,0057,0057,3532,8584,0987,4113,8234,7940,6181,3228,4647,669,225,317,31,73,06,97,23,81,73,97,79,96,01,09,85,90,90,90,67,73,36,68,20,49,73,98,24,11,32,40,20,07,18
