gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
15025,89240,20811,45041,11323,59931,28945,37869,60466,1291,1291,4454,9733,4983,1208,9654,1769,4589,1172,9334,883,246,369,84,54,65,26,33518,71000,05232,61982,43010,81081,50219,30845,09336,2683,2683,9317,5611,9769,7329,2492,9384,2165,4152,3429,905,292,923,19,20,29,31,83404,83706,22712,27489,02396,85533,09498,69364,90297,3523,3523,3648,7700,2028,7128,7608,1395,5548,6704,6585,988,557,522,73,94,52,03
33518,71000,05232,61982,43010,81081,50219,30845,09336,2683,2683,9317,5611,9769,7329,2492,9384,2165,4152,3429,905,292,923,19,20,29,31,07288,10004,34023,06534,01502,44583,42394,24966,41246,4478,4478,7279,2703,2076,6100,3628,6185,7439,6353,6286,774,204,031,63,29,21,11,13927,46687,81060,66404,24961,14296,18801,76879,55801,9769,9769,8662,2243,5217,3199,2527,6416,5991,7160,8759,195,124,435,47,37,78,16
07288,10004,34023,06534,01502,44583,42394,24966,41246,4478,4478,7279,2703,2076,6100,3628,6185,7439,6353,6286,774,204,031,63,29,21,11,83404,83706,22712,27489,02396,85533,09498,69364,90297,3523,3523,3648,7700,2028,7128,7608,1395,5548,6704,6585,988,557,522,73,94,52,03,85382,80869,70897,58721,43635,88491,45871,31092,02589,2710,2710,9703,1252,3737,7923,7809,4115,3525,5652,5647,216,100,110,84,83,68,76
83404,83706,22712,27489,02396,85533,09498,69364,90297,3523,3523,3648,7700,2028,7128,7608,1395,5548,6704,6585,988,557,522,73,94,52,03,13927,46687,81060,66404,24961,14296,18801,76879,55801,9769,9769,8662,2243,5217,3199,2527,6416,5991,7160,8759,195,124,435,47,37,78,16,55162,24842,49462,05546,36105,38805,37705,64011,11933,9513,9513,7779,7068,7285,3812,7638,9536,2872,4347,1251,164,432,011,25,50,67,86
13927,46687,81060,66404,24961,14296,18801,76879,55801,9769,9769,8662,2243,5217,3199,2527,6416,5991,7160,8759,195,124,435,47,37,78,16,85382,80869,70897,58721,43635,88491,45871,31092,02589,2710,2710,9703,1252,3737,7923,7809,4115,3525,5652,5647,216,100,110,84,83,68,76,17856,75967,99475,70526,31093,69764,21262,61714,87286,4846,4846,9315,8361,8872,1277,0347,3595,4577,4160,1588,453,139,445,66,39,96,40
85382,80869,70897,58721,43635,88491,45871,31092,02589,2710,2710,9703,1252,3737,7923,7809,4115,3525,5652,5647,216,100,110,84,83,68,76,55162,24842,49462,05546,36105,38805,37705,64011,11933,9513,9513,7779,7068,7285,3812,7638,9536,2872,4347,1251,164,432,011,25,50,67,86,79853,49714,81195,62172,24060,22784,23138,11150,32014,6663,6663,0166,1560,3724,0412,6583,6511,8487,8678,2787,750,172,798,46,04,70,73
55162,24842,49462,05546,36105,38805,37705,64011,11933,9513,9513,7779,7068,7285,3812,7638,9536,2872,4347,1251,164,432,011,25,50,67,86,17856,75967,99475,70526,31093,69764,21262,61714,87286,4846,4846,9315,8361,8872,1277,0347,3595,4577,4160,1588,453,139,445,66,39,96,40,23095,49953,28356,39729,57688,89982,96967,02356,31575,7994,7994,3089,0015,8643,2032,7653,8928,7272,2218,3433,876,618,371,62,30,31,91
17856,75967,99475,70526,31093,69764,21262,61714,87286,4846,4846,9315,8361,8872,1277,0347,3595,4577,4160,1588,453,139,445,66,39,96,40,79853,49714,81195,62172,24060,22784,23138,11150,32014,6663,6663,0166,1560,3724,0412,6583,6511,8487,8678,2787,750,172,798,46,04,70,73,64267,37637,78614,19213,33545,38206,85775,29461,63427,6774,6774,1984,3924,1409,9327,5284,4175,6181,3820,3728,681,285,167,07,00,60,46
79853,49714,81195,62172,24060,22784,23138,11150,32014,6663,6663,0166,1560,3724,0412,6583,6511,8487,8678,2787,750,172,798,46,04,70,73,23095,49953,28356,39729,57688,89982,96967,02356,31575,7994,7994,3089,0015,8643,2032,7653,8928,7272,2218,3433,876,618,371,62,30,31,91,52554,98214,62736,64202,67724,79476,14818,03188,02447,3286,3286,2383,9594,8584,7984,5640,7179,2332,1511,4163,817,094,537,66,15,93,92
23095,49953,28356,39729,57688,89982,96967,02356,31575,7994,7994,3089,0015,8643,2032,7653,8928,7272,2218,3433,876,618,371,62,30,31,91,64267,37637,78614,19213,33545,38206,85775,29461,63427,6774,6774,1984,3924,1409,9327,5284,4175,6181,3820,3728,681,285,167,07,00,60,46,02993,45965,83209,26096,91350,27197,33041,31049,01443,8880,8880,1011,6461,6816,1143,4337,8230,7249,9593,7275,855,475,701,08,96,58,89
