gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,gt_54,gt_55,gt_56,gt_57,gt_58,gt_59,gt_60,gt_61,gt_62,gt_63,gt_64,gt_65,gt_66,gt_67,gt_68,gt_69,gt_70,gt_71,gt_72,gt_73,gt_74,gt_75,gt_76,gt_77,gt_78,gt_79,gt_80,gt_81,gt_82,gt_83,gt_84,gt_85,gt_86,gt_87,gt_88,gt_89,gt_90,gt_91,gt_92,gt_93,gt_94,gt_95,gt_96,gt_97,gt_98,gt_99,gt_100,gt_101,gt_102,gt_103,gt_104,gt_105,gt_106,gt_107,ngay
89075,98757,90657,25115,24396,82618,37376,70103,02173,9095,9095,0849,8489,9704,1732,4176,3716,1320,2369,9305,371,119,012,16,90,45,64,24876,80854,99828,23837,84735,71029,99393,44993,87879,0364,0364,5906,7191,2777,3102,5866,6549,5033,0953,3745,760,509,801,76,51,72,13,09390,24578,60358,99540,63583,13712,45763,74024,85468,5913,5913,5656,9302,8147,4857,5624,4734,6674,6345,2696,690,549,354,08,29,43,12,42113,73433,31552,60586,01403,35332,53779,26722,78352,7602,7602,6871,7349,4486,7424,2803,2395,0575,1926,7058,414,526,250,66,63,64,20,20220304
24876,80854,99828,23837,84735,71029,99393,44993,87879,0364,0364,5906,7191,2777,3102,5866,6549,5033,0953,3745,760,509,801,76,51,72,13,09390,24578,60358,99540,63583,13712,45763,74024,85468,5913,5913,5656,9302,8147,4857,5624,4734,6674,6345,2696,690,549,354,08,29,43,12,42113,73433,31552,60586,01403,35332,53779,26722,78352,7602,7602,6871,7349,4486,7424,2803,2395,0575,1926,7058,414,526,250,66,63,64,20,42399,63312,15594,59433,15185,96512,43207,53443,89237,4494,4494,7418,5169,1790,4501,2185,3142,1331,7233,1124,586,321,738,08,18,45,54,20220305
09390,24578,60358,99540,63583,13712,45763,74024,85468,5913,5913,5656,9302,8147,4857,5624,4734,6674,6345,2696,690,549,354,08,29,43,12,42113,73433,31552,60586,01403,35332,53779,26722,78352,7602,7602,6871,7349,4486,7424,2803,2395,0575,1926,7058,414,526,250,66,63,64,20,42399,63312,15594,59433,15185,96512,43207,53443,89237,4494,4494,7418,5169,1790,4501,2185,3142,1331,7233,1124,586,321,738,08,18,45,54,84917,97380,32082,04244,39144,88690,26434,67471,10279,6976,6976,4904,9934,2515,8522,7500,2939,1429,9125,4059,307,280,382,99,26,77,68,20220306
42113,73433,31552,60586,01403,35332,53779,26722,78352,7602,7602,6871,7349,4486,7424,2803,2395,0575,1926,7058,414,526,250,66,63,64,20,42399,63312,15594,59433,15185,96512,43207,53443,89237,4494,4494,7418,5169,1790,4501,2185,3142,1331,7233,1124,586,321,738,08,18,45,54,84917,97380,32082,04244,39144,88690,26434,67471,10279,6976,6976,4904,9934,2515,8522,7500,2939,1429,9125,4059,307,280,382,99,26,77,68,78356,12424,71253,80971,01474,25130,24064,35751,63754,1660,1660,5669,7185,3796,1641,8793,7726,8532,9022,9652,628,045,919,41,12,05,28,20220307
42399,63312,15594,59433,15185,96512,43207,53443,89237,4494,4494,7418,5169,1790,4501,2185,3142,1331,7233,1124,586,321,738,08,18,45,54,84917,97380,32082,04244,39144,88690,26434,67471,10279,6976,6976,4904,9934,2515,8522,7500,2939,1429,9125,4059,307,280,382,99,26,77,68,78356,12424,71253,80971,01474,25130,24064,35751,63754,1660,1660,5669,7185,3796,1641,8793,7726,8532,9022,9652,628,045,919,41,12,05,28,74079,05616,38610,98024,11535,04212,68363,52757,40734,5879,5879,9058,9274,9340,6232,0928,6553,0997,8974,2289,407,040,749,69,94,18,35,20220308
84917,97380,32082,04244,39144,88690,26434,67471,10279,6976,6976,4904,9934,2515,8522,7500,2939,1429,9125,4059,307,280,382,99,26,77,68,78356,12424,71253,80971,01474,25130,24064,35751,63754,1660,1660,5669,7185,3796,1641,8793,7726,8532,9022,9652,628,045,919,41,12,05,28,74079,05616,38610,98024,11535,04212,68363,52757,40734,5879,5879,9058,9274,9340,6232,0928,6553,0997,8974,2289,407,040,749,69,94,18,35,62593,71475,21383,24556,81325,95582,07988,72823,67629,3312,3312,4041,3908,4836,2188,8459,6689,8046,0259,9400,263,793,860,31,38,86,70,20220309
78356,12424,71253,80971,01474,25130,24064,35751,63754,1660,1660,5669,7185,3796,1641,8793,7726,8532,9022,9652,628,045,919,41,12,05,28,74079,05616,38610,98024,11535,04212,68363,52757,40734,5879,5879,9058,9274,9340,6232,0928,6553,0997,8974,2289,407,040,749,69,94,18,35,62593,71475,21383,24556,81325,95582,07988,72823,67629,3312,3312,4041,3908,4836,2188,8459,6689,8046,0259,9400,263,793,860,31,38,86,70,08663,08349,37296,97053,80671,84375,94690,91662,42348,8041,8041,1289,0141,3402,4160,1679,9338,2854,8917,0084,587,448,285,77,33,10,95,20220310
74079,05616,38610,98024,11535,04212,68363,52757,40734,5879,5879,9058,9274,9340,6232,0928,6553,0997,8974,2289,407,040,749,69,94,18,35,62593,71475,21383,24556,81325,95582,07988,72823,67629,3312,3312,4041,3908,4836,2188,8459,6689,8046,0259,9400,263,793,860,31,38,86,70,08663,08349,37296,97053,80671,84375,94690,91662,42348,8041,8041,1289,0141,3402,4160,1679,9338,2854,8917,0084,587,448,285,77,33,10,95,72929,33587,35094,34949,34509,59391,35130,49946,51560,1720,1720,9089,7547,0326,8980,0579,8105,0272,9787,7904,618,367,354,06,97,72,75,20220311
62593,71475,21383,24556,81325,95582,07988,72823,67629,3312,3312,4041,3908,4836,2188,8459,6689,8046,0259,9400,263,793,860,31,38,86,70,08663,08349,37296,97053,80671,84375,94690,91662,42348,8041,8041,1289,0141,3402,4160,1679,9338,2854,8917,0084,587,448,285,77,33,10,95,72929,33587,35094,34949,34509,59391,35130,49946,51560,1720,1720,9089,7547,0326,8980,0579,8105,0272,9787,7904,618,367,354,06,97,72,75,61349,80519,38571,21641,62016,92701,11036,60412,46747,6442,6442,1895,2197,1773,1829,3623,1926,2533,2510,1072,101,988,877,22,64,95,39,20220312
08663,08349,37296,97053,80671,84375,94690,91662,42348,8041,8041,1289,0141,3402,4160,1679,9338,2854,8917,0084,587,448,285,77,33,10,95,72929,33587,35094,34949,34509,59391,35130,49946,51560,1720,1720,9089,7547,0326,8980,0579,8105,0272,9787,7904,618,367,354,06,97,72,75,61349,80519,38571,21641,62016,92701,11036,60412,46747,6442,6442,1895,2197,1773,1829,3623,1926,2533,2510,1072,101,988,877,22,64,95,39,31953,52377,59277,28468,47823,36968,73942,83028,47576,4021,4021,9618,2289,6018,5960,2818,1639,1647,4395,5909,918,385,149,32,81,98,31,20220313
72929,33587,35094,34949,34509,59391,35130,49946,51560,1720,1720,9089,7547,0326,8980,0579,8105,0272,9787,7904,618,367,354,06,97,72,75,61349,80519,38571,21641,62016,92701,11036,60412,46747,6442,6442,1895,2197,1773,1829,3623,1926,2533,2510,1072,101,988,877,22,64,95,39,31953,52377,59277,28468,47823,36968,73942,83028,47576,4021,4021,9618,2289,6018,5960,2818,1639,1647,4395,5909,918,385,149,32,81,98,31,66650,07729,47188,33607,01950,23000,46569,19418,36726,4492,4492,7750,0854,5370,2059,1837,8479,6635,8825,7705,988,233,300,07,60,94,80,20220314
61349,80519,38571,21641,62016,92701,11036,60412,46747,6442,6442,1895,2197,1773,1829,3623,1926,2533,2510,1072,101,988,877,22,64,95,39,31953,52377,59277,28468,47823,36968,73942,83028,47576,4021,4021,9618,2289,6018,5960,2818,1639,1647,4395,5909,918,385,149,32,81,98,31,66650,07729,47188,33607,01950,23000,46569,19418,36726,4492,4492,7750,0854,5370,2059,1837,8479,6635,8825,7705,988,233,300,07,60,94,80,48563,48032,54210,01673,61561,96546,32781,77348,68469,3208,3208,5307,7046,5994,2714,6772,3167,0751,3574,9492,421,832,661,13,28,46,05,
