gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,gt_54,gt_55,gt_56,gt_57,gt_58,gt_59,gt_60,gt_61,gt_62,gt_63,gt_64,gt_65,gt_66,gt_67,gt_68,gt_69,gt_70,gt_71,gt_72,gt_73,gt_74,gt_75,gt_76,gt_77,gt_78,gt_79,gt_80,gt_81,gt_82,gt_83,gt_84,gt_85,gt_86,gt_87,gt_88,gt_89,gt_90,gt_91,gt_92,gt_93,gt_94,gt_95,gt_96,gt_97,gt_98,gt_99,gt_100,gt_101,gt_102,gt_103,gt_104,gt_105,gt_106,gt_107,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
62,66,84,50,80,20,17,96,23,67,67,88,30,95,89,45,99,64,87,61,39,73,62,59,64,70,01,44,00,84,33,14,80,20,97,37,76,76,48,13,74,50,56,20,84,59,33,88,33,10,72,04,48,45,49,08,72,85,55,20,52,90,85,20,20,73,03,74,76,39,85,11,14,77,06,47,16,26,07,93,86,77,02,11,59,46,86,01,93,90,36,36,30,48,49,18,92,80,17,05,60,23,56,84,34,83,24,62,21,03,37,66,73,49,38,33,44,85,85,14,48,09,04,30,49,28,47,79,10,43,85,37,32,76,11
44,00,84,33,14,80,20,97,37,76,76,48,13,74,50,56,20,84,59,33,88,33,10,72,04,48,45,49,08,72,85,55,20,52,90,85,20,20,73,03,74,76,39,85,11,14,77,06,47,16,26,07,93,86,77,02,11,59,46,86,01,93,90,36,36,30,48,49,18,92,80,17,05,60,23,56,84,34,83,24,62,64,56,52,61,84,94,73,63,56,59,59,07,38,62,34,13,11,19,17,72,12,51,40,16,68,50,37,98,84,21,97,94,82,95,26,21,12,12,05,23,75,71,61,28,41,53,42,49,01,94,45,15,80,46
49,08,72,85,55,20,52,90,85,20,20,73,03,74,76,39,85,11,14,77,06,47,16,26,07,93,86,77,02,11,59,46,86,01,93,90,36,36,30,48,49,18,92,80,17,05,60,23,56,84,34,83,24,62,64,56,52,61,84,94,73,63,56,59,59,07,38,62,34,13,11,19,17,72,12,51,40,16,68,50,37,21,03,37,66,73,49,38,33,44,85,85,14,48,09,04,30,49,28,47,79,10,43,85,37,32,76,11,66,37,06,85,87,38,53,67,82,77,77,96,29,77,34,00,16,24,82,11,38,07,82,60,20,07,02
77,02,11,59,46,86,01,93,90,36,36,30,48,49,18,92,80,17,05,60,23,56,84,34,83,24,62,64,56,52,61,84,94,73,63,56,59,59,07,38,62,34,13,11,19,17,72,12,51,40,16,68,50,37,21,03,37,66,73,49,38,33,44,85,85,14,48,09,04,30,49,28,47,79,10,43,85,37,32,76,11,98,84,21,97,94,82,95,26,21,12,12,05,23,75,71,61,28,41,53,42,49,01,94,45,15,80,46,09,42,97,79,22,09,80,83,93,34,34,06,69,77,70,94,89,76,05,03,63,05,36,08,55,71,28
64,56,52,61,84,94,73,63,56,59,59,07,38,62,34,13,11,19,17,72,12,51,40,16,68,50,37,21,03,37,66,73,49,38,33,44,85,85,14,48,09,04,30,49,28,47,79,10,43,85,37,32,76,11,98,84,21,97,94,82,95,26,21,12,12,05,23,75,71,61,28,41,53,42,49,01,94,45,15,80,46,66,37,06,85,87,38,53,67,82,77,77,96,29,77,34,00,16,24,82,11,38,07,82,60,20,07,02,01,15,52,87,39,94,23,55,83,53,53,91,86,62,76,62,83,91,91,04,47,37,17,08,04,14,39
21,03,37,66,73,49,38,33,44,85,85,14,48,09,04,30,49,28,47,79,10,43,85,37,32,76,11,98,84,21,97,94,82,95,26,21,12,12,05,23,75,71,61,28,41,53,42,49,01,94,45,15,80,46,66,37,06,85,87,38,53,67,82,77,77,96,29,77,34,00,16,24,82,11,38,07,82,60,20,07,02,09,42,97,79,22,09,80,83,93,34,34,06,69,77,70,94,89,76,05,03,63,05,36,08,55,71,28,21,40,57,49,94,79,33,91,71,72,72,08,44,31,29,37,97,62,79,99,18,75,85,34,56,61,31
98,84,21,97,94,82,95,26,21,12,12,05,23,75,71,61,28,41,53,42,49,01,94,45,15,80,46,66,37,06,85,87,38,53,67,82,77,77,96,29,77,34,00,16,24,82,11,38,07,82,60,20,07,02,09,42,97,79,22,09,80,83,93,34,34,06,69,77,70,94,89,76,05,03,63,05,36,08,55,71,28,01,15,52,87,39,94,23,55,83,53,53,91,86,62,76,62,83,91,91,04,47,37,17,08,04,14,39,63,63,91,62,70,38,85,51,05,03,03,28,77,51,55,95,00,86,36,37,32,44,95,18,28,76,53
66,37,06,85,87,38,53,67,82,77,77,96,29,77,34,00,16,24,82,11,38,07,82,60,20,07,02,09,42,97,79,22,09,80,83,93,34,34,06,69,77,70,94,89,76,05,03,63,05,36,08,55,71,28,01,15,52,87,39,94,23,55,83,53,53,91,86,62,76,62,83,91,91,04,47,37,17,08,04,14,39,21,40,57,49,94,79,33,91,71,72,72,08,44,31,29,37,97,62,79,99,18,75,85,34,56,61,31,39,85,43,62,90,49,25,15,54,08,08,01,76,11,02,85,54,36,70,22,96,43,94,52,80,48,71
09,42,97,79,22,09,80,83,93,34,34,06,69,77,70,94,89,76,05,03,63,05,36,08,55,71,28,01,15,52,87,39,94,23,55,83,53,53,91,86,62,76,62,83,91,91,04,47,37,17,08,04,14,39,21,40,57,49,94,79,33,91,71,72,72,08,44,31,29,37,97,62,79,99,18,75,85,34,56,61,31,63,63,91,62,70,38,85,51,05,03,03,28,77,51,55,95,00,86,36,37,32,44,95,18,28,76,53,60,16,56,07,04,71,14,14,84,22,22,08,78,50,67,50,85,52,14,66,28,54,36,26,18,50,65
01,15,52,87,39,94,23,55,83,53,53,91,86,62,76,62,83,91,91,04,47,37,17,08,04,14,39,21,40,57,49,94,79,33,91,71,72,72,08,44,31,29,37,97,62,79,99,18,75,85,34,56,61,31,63,63,91,62,70,38,85,51,05,03,03,28,77,51,55,95,00,86,36,37,32,44,95,18,28,76,53,39,85,43,62,90,49,25,15,54,08,08,01,76,11,02,85,54,36,70,22,96,43,94,52,80,48,71,01,99,48,56,45,21,21,29,17,73,73,73,55,88,57,72,78,04,92,55,62,82,21,98,00,30,29
21,40,57,49,94,79,33,91,71,72,72,08,44,31,29,37,97,62,79,99,18,75,85,34,56,61,31,63,63,91,62,70,38,85,51,05,03,03,28,77,51,55,95,00,86,36,37,32,44,95,18,28,76,53,39,85,43,62,90,49,25,15,54,08,08,01,76,11,02,85,54,36,70,22,96,43,94,52,80,48,71,60,16,56,07,04,71,14,14,84,22,22,08,78,50,67,50,85,52,14,66,28,54,36,26,18,50,65,57,42,49,56,17,51,10,26,77,70,70,40,09,27,55,12,22,59,10,62,43,12,39,35,60,11,46
